case;channel;program;date;title;decision_date;decision
19_01996;SR;Bota mej;2019-03-16;P1, Bota mig!, program om elektromagnetisk strålning;2019-12-20;Acquittal
19_01998;SR;Ekot;2019-06-09;P1, Ekot, inslag om ett dödsfall;2019-08-06;Acquittal
19_02019;SR;Ring P1;2019-06-07;Ring P1, inslag om försök på människor;2019-08-06;Acquittal
19_02030;SR;Nyheter i P4 Västernorrland;2019-04-04;Nyheter i P4 Västernorrland, inslag om granskning av ett kommunalt bolag i Sundsvall;2020-02-03;Conviction
19_02039;SR;Förmiddag i P4 Stockholm;2019-06-13;Förmiddag i P4 Stockholm, humorinslag om ett kollo;2019-08-06;Acquittal
19_02047;SR;P4 Extra;2019-06-14;P4 Extra, intervju med en artist;2019-08-06;Acquittal
19_02077;SR;P4 Värmland, webben;2019-06-17;SR, P4 Värmland, webben, inslag om en överförmyndarnämnd;2019-09-16;Acquittal
19_02092;SR;P1;2019-06-17;P1, Med hög hastighet, program om höghastighetståg;2019-08-06;Acquittal
19_02094;SR;Studio Ett;2019-06-17;P1, Studio Ett, inslag om fetmabehandling;2019-11-11;Acquittal
19_02097;SR;Fråga vad du vill - jag är anarkist;2019-06-20;P3, Fråga vad du vill, intervju med en anarkist;2019-11-25;Acquittal
19_02120;SR;Ekot;2019-06-23;P4 Stockholm, Ekot, inslag om vinter-OS 2026;2019-10-04;Acquittal
19_02140;SR;P1-morgon;2019-06-26;P1-morgon, inslag om ett danskt regeringsavtal;2019-09-05;Acquittal
19_02219;SR;Dokumentären om tandvårdsfusket;2019-06-24;Eftermiddag i P4 Jönköping, inslag om en granskning av tandvården;2019-12-20;Acquittal
19_02223;SR;Ekot;2019-06-28;P1, Ekot, inslag om en nynazistisk organisations eventuella närvaro under Almedalsveckan;2019-09-05;Acquittal
